t       H       V      T     P
9.4 -669.2932049144299 -673.2085073248861 3.9153024104562073 2.512829465194517 0.0
9.5 -669.293193164724 -673.0069620226262 3.7137688579022594 2.3834858293797088 0.0
9.6 -669.2932019270465 -673.8028931896839 4.5096912626374275 2.8943064661932945 0.0
9.700000000000001 -669.2932098850521 -674.4098231664952 5.116613281443188 3.283827216329362 0.0
9.8 -669.2931919630403 -673.7617710327148 4.468579069674494 2.8679207827834694 0.0
9.9 -669.2931998375706 -673.6785628154373 4.3853629778668 2.8145129420725543 0.0
10.0 -669.2932064150779 -673.2530782575732 3.9598718424953168 2.5414339943812703 0.0
10.1 -669.2931872764483 -671.7172639369982 2.42407666054982 1.5557652053267998 0.0
10.200000000000001 -669.2931867840822 -671.3881113059545 2.0949245218722576 1.3445163397495434 0.0
10.3 -669.2932026684222 -672.4216835582977 3.1284808898754597 2.0078497488169815 0.0
10.4 -669.293203629736 -672.7567913545971 3.4635877248611493 2.2229203208094015 0.0
10.5 -669.2931917929541 -672.2756620538777 2.982470260923566 1.9141405605606518 0.0
10.6 -669.293196237076 -672.5116729348323 3.2184766977562616 2.0656087911793093 0.0
10.700000000000001 -669.2932076616074 -672.937881596685 3.64467393507757 2.3391409130060614 0.0
10.8 -669.2931904516225 -672.4643022696029 3.171111817980351 2.0352101519328363 0.0
10.9 -669.2931943408026 -673.1503638888689 3.857169548066237 2.475519966669065 0.0
11.0 -669.2932162247505 -674.4487559417022 5.155539716951647 3.3088100870929136 0.0
11.1 -669.2931982335897 -673.87045152641 4.577253292820266 2.9376675766195044 0.0
11.200000000000001 -669.2931914998139 -673.5090908343298 4.215899334515817 2.7057516787907367 0.0
11.3 -669.2932126939052 -674.2174226344129 4.924209940507748 3.1603433232300024 0.0
11.4 -669.2932030703428 -673.4788835319756 4.185680461632805 2.686357295873441 0.0
11.5 -669.2931856030921 -672.40814061621 3.1149550131178927 1.9991688812629875 0.0
11.6 -669.2932016855365 -673.0960741939856 3.8028725084491137 2.44067228781331 0.0
11.700000000000001 -669.2932058671244 -673.6952741884813 4.402068321356955 2.8252343819378773 0.0
11.8 -669.293199119357 -673.5256393172709 4.2324401979138395 2.716367555821156 0.0
11.9 -669.2932072543878 -673.2954884273756 4.002281172987864 2.568652176807293 0.0
12.0 -669.2932011245953 -672.2894298878281 2.996228763232854 1.9229707265032354 0.0
12.1 -669.2931901413706 -671.4108825413987 2.117692400028061 1.3591286963677884 0.0
12.200000000000001 -669.2932068185837 -671.8721891540838 2.578982335500061 1.6551832077016033 0.0
12.3 -669.2931988903231 -671.9553485793538 2.662149689030664 1.7085597683309515 0.0
12.4 -669.2931928420948 -672.478288406773 3.1850955646783055 2.0441848790554706 0.0
12.5 -669.2932117672958 -674.0270211820012 4.733809414705441 3.0381448309381085 0.0
12.6 -669.2932076279044 -674.3391665139876 5.04595888608322 3.2384814351115727 0.0
12.700000000000001 -669.29319591867 -673.7524549429276 4.459259024257549 2.86193920529967 0.0
12.8 -669.2932022321542 -673.8832875884406 4.5900853562864015 2.945903156862512 0.0
12.9 -669.2932154868274 -673.8070233815434 4.513807894715993 2.8969485084418722 0.0
13.0 -669.2931834105339 -672.4597077815348 3.1665243710009987 2.0322659420784586 0.0
13.1 -669.293199857804 -673.1692382416014 3.8760383837974857 2.4876299294328024 0.0
13.200000000000001 -669.2932140528225 -674.1333220618328 4.840108009010331 3.1063669532356712 0.0
13.3 -669.293191347087 -673.4378512732937 4.144659926206657 2.6600304379986563 0.0
13.4 -669.29320039682 -673.5674214167028 4.2742210198827895 2.7431823633423433 0.0
13.5 -669.2932148054582 -673.6119433345273 4.318728529069058 2.7717471506259495 0.0
13.6 -669.2931936295688 -671.9610014500178 2.6678078204489473 1.7121911402801104 0.0
13.700000000000001 -669.2931868841329 -671.1965996792887 1.9034127951558903 1.221604682009396 0.0
13.8 -669.2932040162191 -672.2599289007975 2.966724884578427 1.9040352247595198 0.0
13.9 -669.2932059577282 -672.8510679447104 3.5578619869821866 2.283425262403328 0.0
14.0 -669.2931933454955 -672.5106776878293 3.2174843423338624 2.0649719004148333 0.0
14.1 -669.2931966771081 -672.6881421444945 3.394945467386387 2.1788659237136856 0.0
14.200000000000001 -669.2932022213472 -673.0532754987729 3.760073277425735 2.4132038683839454 0.0
14.3 -669.2931960314812 -672.9657786551887 3.6725826237074957 2.357052626527073 0.0
14.4 -669.2931964289611 -673.2283845186269 3.9351880896657816 2.5255920350843364 0.0
14.5 -669.2932057520969 -673.8369305948603 4.543724842763384 2.9161491168958737 0.0
14.6 -669.2932027177345 -673.8170857356779 4.523883017943397 2.9034146926231186 0.0
14.700000000000001 -669.2931975206138 -673.5246162204826 4.231418699868804 2.715711961407977 0.0
14.8 -669.2931982720912 -673.8595807588308 4.5663824867396094 2.9306907255448755 0.0
14.9 -669.2932198077505 -674.3076162056876 5.014396397937118 3.2182247239066943 0.0
15.0 -669.2931914866173 -672.8011752227159 3.5079837360985495 2.2514135490403846 0.0
15.1 -669.2931936132815 -672.6852566481849 3.3920630349034275 2.177015987102079 0.0
15.200000000000001 -669.2932221288937 -673.6298769485103 4.336654819616559 2.783252190688525 0.0
15.3 -669.2931892104046 -672.4793619429555 3.18617273255085 2.0448762021987004 0.0
15.4 -669.2931986241315 -672.6100256720324 3.3168270479009343 2.1287297539677072 0.0
15.5 -669.2932150496877 -673.1047538464655 3.8115387967779384 2.446234285938508 0.0
15.6 -669.2931902330944 -671.9364368971103 2.643246664015909 1.6964278629865437 0.0
15.700000000000001 -669.2931950377495 -671.7851553821861 2.491960344436592 1.599332752145426 0.0
15.8 -669.2932053750699 -672.3021429594472 3.008937584377327 1.931127210190021 0.0
15.9 -669.2931888603247 -672.4147004923186 3.121511631993899 2.0033768997955224 0.0
16.0 -669.2932048531294 -673.7328448677499 4.4396400146205615 2.849347783149979 0.0
16.1 -669.2932098543326 -674.5278463424744 5.234636488141751 3.3595741600588855 0.0
16.2 -669.293197793561 -674.1155582386851 4.822360445124129 3.094976619413801 0.0
16.3 -669.2932071580373 -673.8478538934987 4.5546467354615086 2.923158755209953 0.0
